organization	name	city	state
University of Alabama, Birmingham	Research Computing Services	Birmingham	Alabama
University of Alaska Fairbanks	Research Computing Systems	Fairbanks	Alaska
Arizona State University	Research Computing	Tempe	Arizona
University of Arizona	Research Computing	Tucson	Arizona
University of Arkansas	High Performance Computing Center	Fayetteville	Arkansas
Lawrence Berkeley National Laboratory		Berkeley	California
University of California, Berkeley	Berkeley Research Computing	Berkeley	California
University of California, Irvine	Research Cyberinfrastructure Center	Irvine	California
University of California, Los Angeles	Institute for Digital Research and Education	Los Angeles	California
University of Southern California	Information Sciences Institute	Marina del Rey	California
University of California, San Diego	San Diego Supercomputer Center (SDSC)	San Diego	California
Stanford University		Stanford	California
National Center for Atmospheric Research (NCAR)		Boulder	Colorado
University of Colorado Boulder		Boulder	Colorado
Yale University	Yale Center for Research Computing (YCRC)	New Haven	Connecticut
University of Connecticut	Booth Engineering Center for Advanced Technology (BECAT)	Storrs	Connecticut
Georgetown University	Research Technologies	Washington	DC
The George Washington University		Washington	DC
University of Florida		Gainesville	Florida
University of South Florida	Research Computing	Tampa	Florida
University of Georgia	Advanced Computing Resource Center (GACRC)	Athens	Georgia
Georgia Institute of Technology		Atlanta	Georgia
University of Illinois at Urbana-Champaign	National Center for Supercomputing Applications (NCSA)	Champaign	Illinois
University of Chicago & Argonne National Laboratory	Research Computing Center	Chicago	Illinois
Northwestern University		Evanston	Illinois
Indiana University	Pervasive Technology Institute	Bloomington	Indiana
University of Notre Dame	Center for Research Computing	Notre Dame	Indiana
Purdue University		West Lafayette	Indiana
University of Iowa		Iowa City	Iowa
University of Kentucky	Center for Computational Sciences	Lexington	Kentucky
University of Louisville		Louisville	Kentucky
Louisiana State University	Center for Computation & Technology (CCT)	Baton Rouge	Louisiana
Johns Hopkins University		Baltimore	Maryland
University of Maryland	Division of Information Technology	College Park	Maryland
Boston University		Boston	Massachusetts
Harvard University		Cambridge	Massachusetts
University of Massachusetts		Shrewsbury	Massachusetts
University of Michigan	Advanced Research Computing (ARC)	Ann Arbor	Michigan
Michigan State University	High Performance Computing Center	East Lansing	Michigan
Michigan Technological University		Houghton	Michigan
University of Minnesota	Minnesota Supercomputing Institute for Advanced Computational Research	Minneapolis	Minnesota
Mississippi State University	High Performance Computing Collaboratory (HPC2)	Starkville	Mississippi
Montana State University	Information Technology Center	Bozeman	Montana
University of Nebraska	Holland Computing Center	Omaha	Nebraska
University of Nevada, Las Vegas	National Supercomputing Institute (NSI)	Las Vegas	Nevada
University of Nevada, Reno	Research Computing	Reno	Nevada
University of New Hampshire	Research Computing Center	Durham	New Hampshire
Rutgers University		Piscataway	New Jersey
Princeton University		Princeton	New Jersey
University of New Mexico	Center for Advanced Research Computing	Albuquerque	New Mexico
Roswell Park Comprehensive Cancer Center		Buffalo	New York
University at Buffalo, State University of New York	Center for Computational Research	Buffalo	New York
Cornell University	Center for Advanced Computing	Ithaca	New York
Columbia University		New York	New York
ICahn School of Medicine at Mount Sinai		New York	New York
New York Genome Center		New York	New York
New York University		New York	New York
NYU Langone Medical Center		New York	New York
City University of New York	High Performance Computing Center	Staten Island	New York
Stony Brook University	Research Technologies	Stony Brook	New York
Rensselaer Polytechnic Institute		Troy	New York
University of North Carolina at Chapel Hill	Renaissance Computing Institute (RENCI)	Chapel Hill	North Carolina
University of North Carolina at Chapel Hill		Chapel Hill	North Carolina
North Dakota State University	Center for Computationally Assisted Science & Technology	Fargo	North Dakota
Case Western Reserve University	Core Facillity Advanced Research Computing	Cleveland	Ohio
The Ohio State University	Ohio Supercomputer Center (OSC)	Columbus	Ohio
University of Oklahoma	Supercomputing Center for Education and Research	Norman	Oklahoma
Oklahoma State University	High Performance Computing Center	Stillwater	Oklahoma
University of Oregon	Research Advanced Computing Services (RACS)	Eugene	Oregon
Carnegie-Mellon University & University of Pittsburgh	Pittsburgh Supercomputing Center	Pittsburgh	Pennsylvania
University of Pittsburgh	Center for Research Computing	Pittsburgh	Pennsylvania
The Pennsylvania State University		University Park	Pennsylvania
University of Rhode Island		Kingston	Rhode Island
Brown University	Center for Computation and Visualization	Providence	Rhode Island
Clemson University	Computing and Information Technology (CCIT)	Clemson	South Carolina
University of Tennessee at Chattanooga	SimCenter	Chattanooga	Tennessee
University of Tennessee	National Institute for Computational Sciences (NICS)	Knoxville	Tennessee
Vanderbilt University	Advanced Computing Center for Research and Education	Nashville	Tennessee
Oak Ridge National Laboratory (ORNL)	Center for Computational Sciences	Oak Ridge	Tennessee
The University of Texas at Austin	Texas Advanced Computing Center (TACC)	Austin	Texas
Texas A&M University	Institute for Scientific Computation	College Station	Texas
Southern Methodist University	Center for Scientific Computation	Dallas	Texas
Rice University	Ken Kennedy Institute for Information Technology (K2I)	Houston	Texas
Texas Tech University	High Performance Computing Center	Lubbock	Texas
University of Utah	Center for High Performance Computing	Salt Lake City	Utah
Virginia Tech University	Advanced Research Computing 	Blacksburg	Virginia
University of Virginia	Advanced Research Computing Services (ARCS)	Charlottesville	Virginia
Old Dominion University		Norfolk	Virginia
Washington University	Research Computing	Seattle	Washington
West Virginia University		Morgantown	West Virginia
University of Wyoming	Advanced Research Computing Center (ARCC)	Laramie	Wyoming
